Clip Name, Sequence In, Sequence Out, Clip Duration, Source Reel Name, Source In, Source Out, Source Durations, Sequence Name
07NG15637_0000.mp4, 00:00:00:04, 00:00:16:17, 00:00:16:14, Nat Geo, 01:02:58;26, 01:03:15;13, 00:00:16;16, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1007600260-640_adpp.mp4, 00:00:16:18, 00:00:20:07, 00:00:03:15, Getty, 00:00:00:00, 00:00:03:17, 00:00:03:18, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054579066-640_adpp.mp4, 00:00:20:08, 00:00:27:07, 00:00:07:00, Getty, 00:00:00:00, 00:00:06:29, 00:00:07:00, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:27:08, 00:00:36:14, 00:00:09:07, Nat Geo, 01:05:31;28, 01:05:41;05, 00:00:09;08, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:36:15, 00:00:41:06, 00:00:04:17, Nat Geo, 01:40:33;02, 01:40:37;21, 00:00:04;20, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054580344-640_adpp.mp4, 00:00:41:07, 00:00:42:24, 00:00:01:18, Getty, 00:00:00:00, 00:00:01:42, 00:00:01:43, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:43:00, 00:00:45:02, 00:00:02:03, Nat Geo, 01:40:39;14, 01:40:41;16, 00:00:02;03, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054580344-640_adpp.mp4, 00:00:45:03, 00:00:48:06, 00:00:03:04, Getty, 00:00:03:50, 00:00:06:59, 00:00:03:10, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:48:07, 00:01:01:21, 00:00:13:15, Nat Geo, 01:40:44;22, 01:40:58;09, 00:00:13;18, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054580132-640_adpp.mp4, 00:01:01:22, 00:01:06:16, 00:00:04:20, Getty, 00:00:00:00, 00:00:04:23, 00:00:04:24, Wildbear_Timecode_Troubleshooting_Preview.mp4
112293NG_X65592-02_UntamedAmericas_Coasts_1.mp4, 00:01:06:17, 00:01:15:16, 00:00:09:00, Nat Geo, 01:15:41;19, 01:15:50;18, 00:00:09;00, Wildbear_Timecode_Troubleshooting_Preview.mp4
112293NG_X65592-02_UntamedAmericas_Coasts_1.mp4, 00:01:15:17, 00:01:24:19, 00:00:09:03, Nat Geo, 01:18:10;25, 01:18:19;28, 00:00:09;04, Wildbear_Timecode_Troubleshooting_Preview.mp4

